49400.00 -2.271280746e-07 5.444259494e-07 0.027
49582.62 -1.620766185e-06 5.5864125e-07 0.027
49765.25 -8.501197955e-07 3.920520416e-07 0.027
49947.88 3.898638086e-07 3.498597457e-07 0.027
50130.50 6.041523978e-07 3.495294735e-07 0.027
50313.12 1.000226456e-06 3.027404732e-07 0.027
50495.75 4.558242494e-07 3.180954399e-07 0.027
50678.38 8.273517762e-07 3.138493681e-07 0.027
50861.00 2.685807489e-07 2.681458582e-07 0.027
51043.62 3.399581279e-07 2.517565294e-07 0.027
51226.25 2.103350356e-07 2.395883405e-07 0.027
51408.88 1.643744267e-07 2.436415035e-07 0.027
51591.50 1.467384711e-07 2.244695918e-07 0.027
51774.12 -1.770967649e-07 2.221286287e-07 0.027
51956.75 -1.230134092e-07 2.185448028e-07 0.027
52139.38 -3.125113111e-07 2.126050251e-07 0.027
52322.00 9.141745837e-08 2.097768893e-07 0.027
52504.62 -2.16281827e-07 2.141438674e-07 0.027
52687.25 -1.863891149e-07 2.087564508e-07 0.027
52869.88 -1.221215706e-07 1.987990673e-07 0.027
53052.50 -1.846317838e-07 1.937270993e-07 0.027
53235.12 -6.909049794e-08 1.793113091e-07 0.027
53417.75 -1.502744078e-08 1.717568483e-07 0.027
53600.38 -3.33994302e-07 1.62214035e-07 0.027
53783.00 -2.398791562e-07 1.614891199e-07 0.027
53965.62 -7.0385228e-08 1.55751466e-07 0.027
54148.25 -1.916437676e-07 1.524279789e-07 0.027
54330.88 -1.427436603e-07 1.430649174e-07 0.027
54513.50 -1.05457185e-07 1.348833844e-07 0.027
54696.12 -1.676328547e-07 1.254348894e-07 0.027
54878.75 -5.57294531e-08 1.15593942e-07 0.027
55061.38 4.665775295e-08 1.025713685e-07 0.027
55244.00 8.567570844e-08 9.999583412e-08 0.027
55426.62 1.537033884e-07 1.093437011e-07 0.027
55609.25 2.950729242e-07 1.361144743e-07 0.027
55791.88 3.104884647e-07 1.77192498e-07 0.027
55974.50 2.122218678e-08 1.930313109e-07 0.027
