1981.31 11.7731 44719
1981.34 11.8891 44729
1981.37 11.9841 44739
1981.4 12.055 44749
1981.42 12.1048 44759
1981.45 12.1306 44769
1981.48 12.1293 44779
1981.51 12.074 44789
1981.53 11.9916 44799
1981.56 11.8881 44809
1981.59 11.7696 44819
1981.62 11.6361 44829
1981.64 11.4904 44839
1981.67 11.3357 44849
1981.7 11.178 44859
1981.73 11.0231 44869
1981.75 10.8713 44879
1981.78 10.7283 44889
1981.81 10.6003 44899
1981.84 10.5052 44909
1981.86 10.4371 44919
1981.89 10.3869 44929
1981.92 10.3577 44939
1981.94 10.3434 44949
1981.97 10.347 44959
1982 10.3836 44969
1982.03 10.4471 44979
1982.05 10.5225 44989
1982.08 10.6069 44999
1982.11 10.6973 45009
1982.14 10.7905 45019
1982.16 10.8777 45029
1982.19 10.9589 45039
1982.22 11.031 45049
1982.25 11.091 45059
1982.27 11.136 45069
1982.3 11.1629 45079
1982.33 11.1597 45089
1982.36 11.1655 45099
1982.38 11.1472 45109
1982.41 11.1049 45119
1982.44 11.0445 45129
1982.47 10.966 45139
1982.49 10.8665 45149
1982.52 10.7939 45159
1982.55 10.7032 45169
1982.57 10.6065 45179
1982.6 10.5008 45189
1982.63 10.3919 45199
1982.66 10.283 45209
1982.68 10.2341 45219
1982.71 10.1881 45229
1982.74 10.148 45239
1982.77 10.1199 45249
1982.79 10.1037 45259
1982.82 10.1024 45269
1982.85 10.1341 45279
1982.88 10.1837 45289
1982.9 10.2513 45299
1982.93 10.3308 45309
1982.96 10.4223 45319
1982.99 10.5286 45329
1983.01 10.653 45339
1983.04 10.7892 45349
1983.07 10.9314 45359
1983.1 11.0765 45369
1983.12 11.2246 45379
1983.15 11.3756 45389
1983.18 11.5176 45399
1983.21 11.6565 45409
1983.23 11.7893 45419
1983.26 11.9131 45429
1983.29 12.0248 45439
1983.31 12.1275 45449
1983.34 12.203 45459
1983.37 12.2636 45469
1983.4 12.312 45479
1983.42 12.3425 45489
1983.45 12.3638 45499
1983.48 12.3671 45509
1983.51 12.3463 45519
1983.53 12.3105 45529
1983.56 12.2656 45539
1983.59 12.2146 45549
1983.62 12.1576 45559
1983.64 12.0975 45569
1983.67 12.0404 45579
1983.7 11.9802 45589
1983.73 11.9259 45599
1983.75 11.8716 45609
1983.78 11.8262 45619
1983.81 11.7838 45629
1983.84 11.7623 45639
