49400.00 4.38134531e-07 5.444522392e-07 0.027
49582.62 -3.182440601e-07 5.586653976e-07 0.027
49765.25 -2.146156752e-07 3.920808701e-07 0.027
49947.88 7.514129583e-07 3.498824318e-07 0.027
50130.50 6.689581699e-07 3.495497372e-07 0.027
50313.12 5.532880958e-07 3.027562882e-07 0.027
50495.75 -5.169516289e-07 3.18114464e-07 0.027
50678.38 -6.053899513e-07 3.138685321e-07 0.027
50861.00 -1.095463756e-06 2.681626253e-07 0.027
51043.62 -6.010872963e-07 2.517726905e-07 0.027
51226.25 -2.377130141e-07 2.396045928e-07 0.027
51408.88 -2.321999587e-08 2.436587549e-07 0.027
51591.50 2.403394052e-07 2.244861701e-07 0.027
51774.12 4.303778139e-08 2.221450932e-07 0.027
51956.75 2.549844888e-07 2.185609926e-07 0.027
52139.38 9.786358309e-08 2.126206198e-07 0.027
52322.00 4.675411118e-07 2.097919641e-07 0.027
52504.62 2.224463486e-08 2.141593178e-07 0.027
52687.25 -7.424947538e-09 2.087704792e-07 0.027
52869.88 -4.99574716e-08 1.988122371e-07 0.027
53052.50 -2.031338742e-07 1.937398735e-07 0.027
53235.12 -5.946743058e-08 1.793231848e-07 0.027
53417.75 8.69313554e-08 1.717680645e-07 0.027
53600.38 -2.667534528e-07 1.62224689e-07 0.027
53783.00 -1.217903919e-07 1.614997447e-07 0.027
53965.62 1.206278713e-07 1.557619596e-07 0.027
54148.25 1.258330627e-07 1.524384663e-07 0.027
54330.88 2.181866406e-07 1.430750761e-07 0.027
54513.50 2.792809313e-07 1.348931051e-07 0.027
54696.12 1.800846136e-07 1.254441599e-07 0.027
54878.75 2.326186907e-07 1.15602563e-07 0.027
55061.38 1.910832536e-07 1.025790056e-07 0.027
55244.00 1.401270014e-07 1.000030254e-07 0.027
55426.62 2.234746917e-08 1.093509603e-07 0.027
55609.25 -3.484368738e-08 1.361232511e-07 0.027
55791.88 -2.760572432e-07 1.772035645e-07 0.027
55974.50 -5.028117733e-07 1.930445749e-07 0.027
