OUTPUT2: 1994.13 0.609525      0.650346
OUTPUT2: 1995.14 0.294315      0.396517
OUTPUT2: 1996.13 -0.0929486    0.388327
OUTPUT2: 1997.14 -0.60553      0.350958
OUTPUT2: 1998.13 -0.766412     0.29442 
OUTPUT2: 1999.14 -0.297365     0.257438
OUTPUT2: 2000.13 -0.0128658    0.240251
OUTPUT2: 2001.14 0.149309      0.239953
OUTPUT2: 2002.12 0.16819       0.229592
OUTPUT2: 2003.14 0.0834932     0.229875
OUTPUT2: 2004.12 0.0107559     0.211637
OUTPUT2: 2005.13 0.0946872     0.19017 
OUTPUT2: 2006.12 0.111831      0.183289
OUTPUT2: 2007.13 0.215891      0.175869
OUTPUT2: 2008.12 0.247916      0.157567
OUTPUT2: 2009.13 0.189104      0.134277
OUTPUT2: 2010.12 0.0575113     0.113381
OUTPUT2: 2011.13 -0.173173     0.150499
OUTPUT2: 2012.12 -0.394884     0.242919
