OUTPUT3: 1993.86 1.46709 0.428588 2.56549
OUTPUT3: 1993.86 1.46173 0.42892 2.55442
OUTPUT3: 1993.87 1.43168 0.395786 2.52074
OUTPUT3: 1993.87 1.41587 0.387408 2.49855
OUTPUT3: 1993.89 1.37865 0.36864 2.43254
OUTPUT3: 1993.9 1.36707 0.372265 2.40753
OUTPUT3: 1993.9 1.33815 0.346168 2.37095
OUTPUT3: 1993.94 1.23481 0.276809 2.21986
OUTPUT3: 1993.94 1.23946 0.290701 2.21935
OUTPUT3: 1993.94 1.22186 0.271325 2.19964
OUTPUT3: 1993.95 1.23432 0.29373 2.20707
OUTPUT3: 1993.95 1.20888 0.263964 2.17969
OUTPUT3: 1993.96 1.21143 0.28158 2.16893
OUTPUT3: 1993.96 1.18903 0.262333 2.14179
OUTPUT3: 1993.97 1.18692 0.258634 2.13782
OUTPUT3: 1993.99 1.17858 0.275264 2.10436
OUTPUT3: 1994.03 1.16106 0.307314 2.04216
OUTPUT3: 1994.06 1.07688 0.249376 1.93142
OUTPUT3: 1994.06 1.07682 0.249313 1.93135
OUTPUT3: 1994.19 0.918997 0.227043 1.65993
OUTPUT3: 1994.19 0.918871 0.226929 1.65979
OUTPUT3: 1994.51 0.660478 0.200699 1.1695
OUTPUT3: 1994.52 0.672577 0.21974 1.17884
OUTPUT3: 1994.52 0.657305 0.205367 1.15973
OUTPUT3: 1994.65 0.621133 0.177917 1.05061
OUTPUT3: 1994.8 0.625756 0.188684 1.02372
OUTPUT3: 1994.98 0.614963 0.214959 0.992576
OUTPUT3: 1994.98 0.614917 0.214882 0.992526
OUTPUT3: 1995.03 0.642204 0.258499 1.00745
OUTPUT3: 1995.03 0.641728 0.257986 1.00691
OUTPUT3: 1995.03 0.641654 0.257905 1.00682
OUTPUT3: 1995.03 0.641515 0.25775 1.00667
OUTPUT3: 1995.03 0.637293 0.253423 1.00192
OUTPUT3: 1995.04 0.642877 0.260053 1.00757
OUTPUT3: 1995.04 0.608689 0.227461 0.971147
OUTPUT3: 1995.04 0.608331 0.227197 0.970728
OUTPUT3: 1995.04 0.607825 0.226837 0.970132
OUTPUT3: 1995.04 0.607597 0.226681 0.969861
OUTPUT3: 1995.04 0.607389 0.226543 0.96961
OUTPUT3: 1995.05 0.621698 0.242416 0.983583
OUTPUT3: 1995.05 0.624589 0.245235 0.986577
OUTPUT3: 1995.05 0.625461 0.246082 0.987481
OUTPUT3: 1995.05 0.635515 0.256121 0.997511
OUTPUT3: 1995.05 0.632748 0.253563 0.994535
OUTPUT3: 1995.05 0.630978 0.251923 0.992636
OUTPUT3: 1995.05 0.620357 0.242011 0.981264
OUTPUT3: 1995.05 0.623034 0.245146 0.983462
OUTPUT3: 1995.05 0.623187 0.245343 0.983605
OUTPUT3: 1995.05 0.623401 0.245633 0.983797
OUTPUT3: 1995.06 0.62337 0.246776 0.982665
OUTPUT3: 1995.55 0.81835 0.458116 1.16481
OUTPUT3: 1995.55 0.812389 0.450429 1.15911
OUTPUT3: 1995.55 0.812074 0.450054 1.1588
OUTPUT3: 1995.56 0.811532 0.449426 1.15825
OUTPUT3: 1995.56 0.806782 0.442916 1.1537
OUTPUT3: 1995.56 0.806696 0.442791 1.15362
OUTPUT3: 1995.56 0.806657 0.442735 1.15359
OUTPUT3: 1995.56 0.812913 0.451436 1.15934
OUTPUT3: 1995.56 0.825377 0.467909 1.17102
OUTPUT3: 1995.56 0.826001 0.468697 1.17162
OUTPUT3: 1995.56 0.82816 0.471383 1.1737
OUTPUT3: 1995.56 0.829024 0.472438 1.17454
OUTPUT3: 1995.65 0.849638 0.483054 1.20028
OUTPUT3: 1995.65 0.829727 0.461609 1.17991
OUTPUT3: 1995.65 0.82133 0.450917 1.17214
OUTPUT3: 1995.65 0.821114 0.45066 1.17194
OUTPUT3: 1995.72 0.915831 0.547011 1.26542
OUTPUT3: 1995.72 0.915767 0.54684 1.26539
OUTPUT3: 1995.75 0.905916 0.538883 1.2539
OUTPUT3: 1995.75 0.905916 0.538883 1.2539
OUTPUT3: 1995.75 0.905905 0.538957 1.25385
OUTPUT3: 1995.75 0.905905 0.538957 1.25385
OUTPUT3: 1995.75 0.905865 0.539146 1.25371
OUTPUT3: 1995.84 0.879795 0.512333 1.22326
OUTPUT3: 1995.84 0.888289 0.524802 1.23117
OUTPUT3: 1995.84 0.888885 0.525101 1.23199
OUTPUT3: 1995.84 0.888901 0.525089 1.23202
OUTPUT3: 1995.84 0.888901 0.525089 1.23202
OUTPUT3: 1995.84 0.888919 0.525064 1.23206
OUTPUT3: 1995.84 0.888928 0.52503 1.2321
OUTPUT3: 1996.09 0.766059 0.43784 1.0726
OUTPUT3: 1996.09 0.766058 0.43784 1.0726
OUTPUT3: 1996.09 0.764511 0.435737 1.0712
OUTPUT3: 1996.09 0.761728 0.432876 1.0683
OUTPUT3: 1996.09 0.761694 0.432919 1.06823
OUTPUT3: 1996.09 0.761657 0.432964 1.06816
OUTPUT3: 1996.09 0.76073 0.433119 1.06671
OUTPUT3: 1996.1 0.747893 0.419093 1.05327
OUTPUT3: 1996.16 0.628618 0.311861 0.922469
OUTPUT3: 1996.17 0.627062 0.311842 0.919756
OUTPUT3: 1996.17 0.627062 0.311842 0.919756
OUTPUT3: 1996.17 0.627046 0.311755 0.919761
OUTPUT3: 1996.17 0.627025 0.311653 0.919764
OUTPUT3: 1996.29 0.538776 0.247707 0.808699
OUTPUT3: 1996.29 0.538776 0.247707 0.808699
OUTPUT3: 1996.29 0.538357 0.247281 0.808233
OUTPUT3: 1996.29 0.538357 0.247281 0.808233
OUTPUT3: 1996.29 0.538268 0.247216 0.80812
OUTPUT3: 1996.29 0.538231 0.247206 0.808062
OUTPUT3: 1996.29 0.538231 0.247206 0.808062
