OUTPUT2: 1979.45 5.7695
OUTPUT2: 1979.48 5.6681
OUTPUT2: 1979.51 5.56966
OUTPUT2: 1979.54 5.46369
OUTPUT2: 1979.56 5.3472
OUTPUT2: 1979.59 5.22167
OUTPUT2: 1979.62 5.09011
OUTPUT2: 1979.65 4.95252
OUTPUT2: 1979.67 4.8284
OUTPUT2: 1979.7 4.70124
OUTPUT2: 1979.73 4.57106
OUTPUT2: 1979.76 4.44385
OUTPUT2: 1979.78 4.3181
OUTPUT2: 1979.81 4.19683
OUTPUT2: 1979.84 4.11002
OUTPUT2: 1979.87 4.03218
OUTPUT2: 1979.89 3.96481
OUTPUT2: 1979.92 3.90791
OUTPUT2: 1979.95 3.86298
OUTPUT2: 1979.97 3.83302
OUTPUT2: 1980 3.83453
OUTPUT2: 1980.03 3.85101
OUTPUT2: 1980.06 3.88095
OUTPUT2: 1980.08 3.92587
OUTPUT2: 1980.11 3.98276
OUTPUT2: 1980.14 4.05311
OUTPUT2: 1980.17 4.14143
OUTPUT2: 1980.19 4.24322
OUTPUT2: 1980.22 4.35249
OUTPUT2: 1980.25 4.46472
OUTPUT2: 1980.28 4.57992
OUTPUT2: 1980.3 4.69358
OUTPUT2: 1980.33 4.80122
OUTPUT2: 1980.36 4.89833
OUTPUT2: 1980.39 4.9879
OUTPUT2: 1980.41 5.06995
OUTPUT2: 1980.44 5.14146
OUTPUT2: 1980.47 5.20395
OUTPUT2: 1980.5 5.2529
OUTPUT2: 1980.52 5.27482
OUTPUT2: 1980.55 5.28471
OUTPUT2: 1980.58 5.28257
OUTPUT2: 1980.61 5.2714
OUTPUT2: 1980.63 5.2497
OUTPUT2: 1980.66 5.21897
OUTPUT2: 1980.69 5.1717
OUTPUT2: 1980.71 5.11991
OUTPUT2: 1980.74 5.06358
OUTPUT2: 1980.77 5.00723
OUTPUT2: 1980.8 4.95234
OUTPUT2: 1980.82 4.90042
OUTPUT2: 1980.85 4.86197
OUTPUT2: 1980.88 4.831
OUTPUT2: 1980.91 4.80748
OUTPUT2: 1980.93 4.79294
OUTPUT2: 1980.96 4.78887
OUTPUT2: 1980.99 4.79677
OUTPUT2: 1981.01 4.83013
OUTPUT2: 1981.04 4.87547
OUTPUT2: 1981.07 4.92977
OUTPUT2: 1981.1 4.99305
OUTPUT2: 1981.12 5.06379
OUTPUT2: 1981.15 5.1405
OUTPUT2: 1981.18 5.22768
OUTPUT2: 1981.21 5.31783
OUTPUT2: 1981.23 5.40645
OUTPUT2: 1981.26 5.49354
OUTPUT2: 1981.29 5.5776
OUTPUT2: 1981.31 5.65262
OUTPUT2: 1981.34 5.71112
OUTPUT2: 1981.37 5.75908
OUTPUT2: 1981.4 5.79502
OUTPUT2: 1981.42 5.82042
OUTPUT2: 1981.45 5.83379
OUTPUT2: 1981.48 5.83364
OUTPUT2: 1981.51 5.80645
OUTPUT2: 1981.53 5.76573
OUTPUT2: 1981.56 5.71447
OUTPUT2: 1981.59 5.65569
OUTPUT2: 1981.62 5.58938
OUTPUT2: 1981.64 5.51704
OUTPUT2: 1981.67 5.44016
OUTPUT2: 1981.7 5.36175
OUTPUT2: 1981.73 5.28482
OUTPUT2: 1981.75 5.20935
OUTPUT2: 1981.78 5.13835
OUTPUT2: 1981.81 5.07482
OUTPUT2: 1981.84 5.02776
OUTPUT2: 1981.86 4.99417
OUTPUT2: 1981.89 4.96955
OUTPUT2: 1981.92 4.9554
OUTPUT2: 1981.94 4.94872
OUTPUT2: 1981.97 4.951
OUTPUT2: 1982 4.96976
OUTPUT2: 1982.03 5.00198
OUTPUT2: 1982.05 5.04017
OUTPUT2: 1982.08 5.08284
OUTPUT2: 1982.11 5.12847
OUTPUT2: 1982.14 5.17557
OUTPUT2: 1982.16 5.21964
OUTPUT2: 1982.19 5.26068
OUTPUT2: 1982.22 5.29718
OUTPUT2: 1982.25 5.32766
OUTPUT2: 1982.27 5.35061
OUTPUT2: 1982.3 5.36452
OUTPUT2: 1982.33 5.36341
OUTPUT2: 1982.36 5.36676
OUTPUT2: 1982.38 5.35808
OUTPUT2: 1982.41 5.33738
OUTPUT2: 1982.44 5.30764
OUTPUT2: 1982.47 5.26887
OUTPUT2: 1982.49 5.21957
OUTPUT2: 1982.52 5.18373
OUTPUT2: 1982.55 5.13887
OUTPUT2: 1982.57 5.09098
OUTPUT2: 1982.6 5.03855
OUTPUT2: 1982.63 4.9846
OUTPUT2: 1982.66 4.93061
OUTPUT2: 1982.68 4.9066
OUTPUT2: 1982.71 4.88405
OUTPUT2: 1982.74 4.86447
OUTPUT2: 1982.77 4.85086
OUTPUT2: 1982.79 4.84322
OUTPUT2: 1982.82 4.84305
OUTPUT2: 1982.85 4.85935
OUTPUT2: 1982.88 4.88461
OUTPUT2: 1982.9 4.91885
OUTPUT2: 1982.93 4.95906
OUTPUT2: 1982.96 5.00523
OUTPUT2: 1982.99 5.05888
OUTPUT2: 1983.01 5.12149
OUTPUT2: 1983.04 5.19007
OUTPUT2: 1983.07 5.26162
OUTPUT2: 1983.1 5.33464
OUTPUT2: 1983.12 5.40913
OUTPUT2: 1983.15 5.48509
OUTPUT2: 1983.18 5.55652
OUTPUT2: 1983.21 5.62641
OUTPUT2: 1983.23 5.69328
OUTPUT2: 1983.26 5.75561
OUTPUT2: 1983.29 5.81192
OUTPUT2: 1983.31 5.86369
OUTPUT2: 1983.34 5.90193
OUTPUT2: 1983.37 5.93265
OUTPUT2: 1983.4 5.95733
OUTPUT2: 1983.42 5.97298
OUTPUT2: 1983.45 5.98409
OUTPUT2: 1983.48 5.98618
OUTPUT2: 1983.51 5.97624
OUTPUT2: 1983.53 5.95877
OUTPUT2: 1983.56 5.93676
OUTPUT2: 1983.59 5.91173
OUTPUT2: 1983.62 5.88366
OUTPUT2: 1983.64 5.85406
OUTPUT2: 1983.67 5.82593
OUTPUT2: 1983.7 5.79628
OUTPUT2: 1983.73 5.76959
