OUTPUT1: 1994.13 1.04662     0.650346
OUTPUT1: 1995.13 -0.119119   0.396517
OUTPUT1: 1996.13 0.441619    0.388327
OUTPUT1: 1997.13 -0.654578   0.350958
OUTPUT1: 1998.13 -1.43389    0.29442
OUTPUT1: 1999.13 -0.46436    0.257438 
OUTPUT1: 2000.13 -0.00325763 0.240251
OUTPUT1: 2001.13 0.153453    0.239953
OUTPUT1: 2002.13 0.451391    0.229592
OUTPUT1: 2003.13 0.0348898   0.229875
OUTPUT1: 2004.13 -0.163304   0.211637
OUTPUT1: 2005.13 0.262174    0.19017
OUTPUT1: 2006.13 0.0590909   0.183289
OUTPUT1: 2007.13 0.290826    0.175869
OUTPUT1: 2008.13 0.450478    0.157567
OUTPUT1: 2009.13 0.359632    0.134277
OUTPUT1: 2010.13 0.203889    0.113381
OUTPUT1: 2011.13 -0.0531995  0.150499
OUTPUT1: 2012.13 -0.862361   0.242919
