49400.00 -1.977293257e-07 3.593247325e-07 0.053
49765.25 -7.86414841e-07 3.966907954e-07 0.053
50130.50 6.195786414e-07 3.418270064e-07 0.053
50495.75 5.752715966e-07 2.854642108e-07 0.053
50861.00 3.142379995e-07 2.724928301e-07 0.053
51226.25 -2.314777845e-07 2.687720664e-07 0.053
51591.50 1.696649647e-07 2.58063142e-07 0.053
51956.75 -2.203334128e-07 2.340580625e-07 0.053
52322.00 -5.152170497e-08 2.176875574e-07 0.053
52687.25 -5.766342148e-08 1.822540033e-07 0.053
53052.50 -4.525617873e-08 1.333300694e-07 0.053
53417.75 8.066982156e-08 1.208593569e-07 0.053
53783.00 -6.231861806e-08 1.207868315e-07 0.053
54148.25 -1.09358674e-07 1.173164496e-07 0.053
54513.50 -1.123917088e-07 1.056559492e-07 0.053
54878.75 -1.551213956e-07 8.357194537e-08 0.053
55244.00 -1.123964926e-08 6.044537749e-08 0.053
55609.25 2.014848304e-08 8.535319671e-08 0.053
55900.50 2.612552081e-07 1.501246429e-07 0.053
