49400.00 -6.202061545e-07 3.593037246e-07 0.053
49765.25 -8.754285087e-07 4.004943242e-07 0.053
50130.50 5.829585813e-07 3.486701562e-07 0.053
50495.75 9.480738657e-07 2.872839419e-07 0.053
50861.00 8.308015681e-07 2.731392078e-07 0.053
51226.25 -3.862779983e-08 2.689670204e-07 0.053
51591.50 1.61533876e-07 2.585996262e-07 0.053
51956.75 -3.484299105e-07 2.351036419e-07 0.053
52322.00 -1.579998591e-07 2.187767773e-07 0.053
52687.25 -1.256552885e-07 1.825973388e-07 0.053
53052.50 -6.591542257e-08 1.33473899e-07 0.053
53417.75 2.957337323e-08 1.210011224e-07 0.053
53783.00 -1.217598242e-07 1.209287564e-07 0.053
54148.25 -2.450627811e-07 1.174218195e-07 0.053
54513.50 -2.629988738e-07 1.057632391e-07 0.053
54878.75 -2.798655067e-07 8.367555428e-08 0.053
55244.00 -4.718742779e-08 6.056751344e-08 0.053
55609.25 1.341409071e-07 8.543199692e-08 0.053
55900.50 5.020551859e-07 1.502170127e-07 0.053
