49400.00 1.06741747e-06 3.592730086e-07 0.053
49765.25 -7.653507691e-08 4.004600864e-07 0.053
50130.50 3.474670076e-07 3.486403477e-07 0.053
50495.75 -6.850243348e-07 2.872593823e-07 0.053
50861.00 -1.236318762e-06 2.731158578e-07 0.053
51226.25 -8.09945893e-07 2.689440269e-07 0.053
51591.50 1.773071488e-07 2.585775186e-07 0.053
51956.75 1.048999486e-07 2.350835431e-07 0.053
52322.00 3.428796989e-07 2.187580741e-07 0.053
52687.25 1.447149733e-07 1.825817285e-07 0.053
53052.50 -1.350857737e-08 1.334624884e-07 0.053
53417.75 2.917933131e-07 1.209907786e-07 0.053
53783.00 1.718035366e-07 1.209184189e-07 0.053
54148.25 3.3692036e-07 1.174117817e-07 0.053
54513.50 4.046571019e-07 1.057541979e-07 0.053
54878.75 2.167001585e-07 8.366840105e-08 0.053
55244.00 7.927078962e-08 6.056233555e-08 0.053
55609.25 -3.43131452e-07 8.542469374e-08 0.053
55900.50 -5.213674102e-07 1.502041714e-07 0.053
