id,pair,span_years,drift_per_year,sigma_per_year,source,z_score,abs_drift_95_per_year,max_ratio_change_95_over_observed_span,max_ratio_change_95_over_20y_extrap,max_accumulated_offset_20y_seconds
MARION_2003_RB_CS,87Rb/133Cs hyperfine,5.0,2e-17,7e-16,"arXiv:physics/0212112; PRL 90, 150801 (2003)",0.02857142857142857,1.392e-15,6.9599999999999995e-15,2.7839999999999998e-14,8.78563584e-06
GUENA_2012_RB_CS,87Rb/133Cs hyperfine,14.0,-1.39e-16,9.1e-17,"arXiv:1205.4235; PRL 109, 080801 (2012)",-1.5274725274725274,3.1736e-16,4.44304e-15,6.3472e-15,2.0030239872e-06
LANGE_2021_YB_E3_E2,171Yb+ E3/E2 optical,4.1067761806981515,-6.8e-18,7.5e-18,"arXiv:2010.06620; PRL 126, 011102 (2021), Fig.2/Table II",-0.9066666666666666,2.15e-17,8.829568788501026e-17,4.3000000000000004e-16,1.3569768e-07
LANGE_2021_YB_E3_CS,171Yb+ E3 / 133Cs hyperfine,9.174537987679672,-3.1e-17,3.4e-17,"arXiv:2010.06620; PRL 126, 011102 (2021), Fig.3/Table II",-0.9117647058823529,9.764e-17,8.958018891170431e-16,1.9527999999999997e-15,6.162568127999999e-07
